MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
                  R2022b (9.13.0.2049777) 64-bit (glnxa64)
                              August 24, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Number of jobs (multiplexed): 2
Starting parallel pool (parpool) using the 'Processes' profile ...
Connected to the parallel pool (number of workers: 12).
Job number 43 of 512 done! Time = 13.2947 s
Job number 63 of 512 done! Time = 13.425 s
Job number 123 of 512 done! Time = 13.447 s
Job number 101 of 512 done! Time = 12.4019 s
Job number 81 of 512 done! Time = 12.5007 s
Job number 141 of 512 done! Time = 12.3933 s
Job number 221 of 512 done! Time = 12.4965 s
Job number 261 of 512 done! Time = 12.4967 s
Job number 182 of 512 done! Time = 13.1728 s
Job number 202 of 512 done! Time = 13.3387 s
Job number 242 of 512 done! Time = 13.4765 s
Job number 62 of 512 done! Time = 13.2506 s
Job number 162 of 512 done! Time = 13.1171 s
Job number 42 of 512 done! Time = 13.3105 s
Job number 122 of 512 done! Time = 13.4557 s
Job number 100 of 512 done! Time = 12.4132 s
Job number 80 of 512 done! Time = 12.5349 s
Job number 140 of 512 done! Time = 12.5201 s
Job number 220 of 512 done! Time = 12.5383 s
Job number 260 of 512 done! Time = 12.6261 s
Job number 181 of 512 done! Time = 13.1371 s
Job number 201 of 512 done! Time = 13.2278 s
Job number 241 of 512 done! Time = 13.2746 s
Job number 61 of 512 done! Time = 13.2893 s
Job number 161 of 512 done! Time = 13.2396 s
Job number 41 of 512 done! Time = 13.2759 s
Job number 121 of 512 done! Time = 13.5466 s
Job number 99 of 512 done! Time = 12.3588 s
Job number 139 of 512 done! Time = 12.5582 s
Job number 79 of 512 done! Time = 12.5719 s
Job number 219 of 512 done! Time = 12.6065 s
Job number 259 of 512 done! Time = 12.6416 s
Job number 180 of 512 done! Time = 13.1773 s
Job number 200 of 512 done! Time = 13.1483 s
Job number 160 of 512 done! Time = 13.2227 s
Job number 240 of 512 done! Time = 13.1683 s
Job number 40 of 512 done! Time = 13.2235 s
Job number 60 of 512 done! Time = 13.3594 s
Job number 120 of 512 done! Time = 12.8115 s
Job number 98 of 512 done! Time = 12.4959 s
Job number 78 of 512 done! Time = 12.6796 s
Job number 138 of 512 done! Time = 12.6606 s
Job number 218 of 512 done! Time = 12.6729 s
Job number 258 of 512 done! Time = 12.6132 s
Job number 179 of 512 done! Time = 13.136 s
Job number 199 of 512 done! Time = 13.2647 s
Job number 159 of 512 done! Time = 13.2071 s
Job number 239 of 512 done! Time = 13.1213 s
Job number 39 of 512 done! Time = 13.257 s
Job number 59 of 512 done! Time = 13.3085 s
Job number 119 of 512 done! Time = 12.6766 s
Job number 97 of 512 done! Time = 12.5805 s
Job number 77 of 512 done! Time = 12.6281 s
Job number 137 of 512 done! Time = 12.5485 s
Job number 217 of 512 done! Time = 12.5866 s
Job number 257 of 512 done! Time = 12.6559 s
Job number 178 of 512 done! Time = 13.1245 s
Job number 198 of 512 done! Time = 13.1825 s
Job number 158 of 512 done! Time = 13.2023 s
Job number 238 of 512 done! Time = 13.2498 s
Job number 38 of 512 done! Time = 13.3097 s
Job number 58 of 512 done! Time = 13.3185 s
Job number 286 of 512 done! Time = 12.4112 s
Job number 118 of 512 done! Time = 13.9107 s
Job number 306 of 512 done! Time = 12.4191 s
Job number 296 of 512 done! Time = 12.4575 s
Job number 316 of 512 done! Time = 12.5074 s
Job number 326 of 512 done! Time = 12.5163 s
Job number 177 of 512 done! Time = 13.152 s
Job number 197 of 512 done! Time = 13.4584 s
Job number 237 of 512 done! Time = 13.3104 s
Job number 157 of 512 done! Time = 13.2062 s
Job number 37 of 512 done! Time = 13.1963 s
Job number 57 of 512 done! Time = 13.3986 s
Job number 285 of 512 done! Time = 12.4887 s
Job number 117 of 512 done! Time = 12.842 s
Job number 305 of 512 done! Time = 12.5255 s
Job number 295 of 512 done! Time = 12.5687 s
Job number 315 of 512 done! Time = 12.5964 s
Job number 325 of 512 done! Time = 12.6411 s
Job number 376 of 512 done! Time = 13.367 s
Job number 366 of 512 done! Time = 13.014 s
Job number 356 of 512 done! Time = 13.1735 s
Job number 346 of 512 done! Time = 13.5505 s
Job number 386 of 512 done! Time = 13.2247 s
Job number 336 of 512 done! Time = 13.3871 s
Job number 284 of 512 done! Time = 12.4747 s
Job number 396 of 512 done! Time = 12.853 s
Job number 294 of 512 done! Time = 12.5866 s
Job number 304 of 512 done! Time = 12.5459 s
Job number 314 of 512 done! Time = 12.6044 s
Job number 324 of 512 done! Time = 12.613 s
Job number 375 of 512 done! Time = 13.1366 s
Job number 365 of 512 done! Time = 13.1846 s
Job number 355 of 512 done! Time = 13.2469 s
Job number 345 of 512 done! Time = 13.2289 s
Job number 385 of 512 done! Time = 13.2211 s
Job number 335 of 512 done! Time = 13.2778 s
Job number 283 of 512 done! Time = 12.4886 s
Job number 395 of 512 done! Time = 12.6594 s
Job number 303 of 512 done! Time = 12.5314 s
Job number 293 of 512 done! Time = 12.5518 s
Job number 313 of 512 done! Time = 12.6233 s
Job number 323 of 512 done! Time = 12.6049 s
Job number 374 of 512 done! Time = 13.1371 s
Job number 364 of 512 done! Time = 13.1173 s
Job number 282 of 512 done! Time = 12.4626 s
Job number 354 of 512 done! Time = 13.4637 s
Job number 344 of 512 done! Time = 13.1687 s
Job number 384 of 512 done! Time = 13.1094 s
Job number 334 of 512 done! Time = 13.2117 s
Job number 394 of 512 done! Time = 12.7012 s
Job number 292 of 512 done! Time = 12.5464 s
Job number 302 of 512 done! Time = 12.5234 s
Job number 312 of 512 done! Time = 12.6158 s
Job number 322 of 512 done! Time = 12.5837 s
Job number 373 of 512 done! Time = 13.0883 s
Job number 363 of 512 done! Time = 13.1314 s
Job number 281 of 512 done! Time = 12.4982 s
Job number 353 of 512 done! Time = 13.1359 s
Job number 343 of 512 done! Time = 13.1011 s
Job number 383 of 512 done! Time = 13.3904 s
Job number 333 of 512 done! Time = 13.2646 s
Job number 393 of 512 done! Time = 12.7355 s
Job number 301 of 512 done! Time = 12.5217 s
Job number 291 of 512 done! Time = 12.6177 s
Job number 311 of 512 done! Time = 12.587 s
Job number 321 of 512 done! Time = 12.5886 s
Job number 280 of 512 done! Time = 12.4439 s
Job number 372 of 512 done! Time = 13.1771 s
Job number 362 of 512 done! Time = 13.0841 s
Job number 352 of 512 done! Time = 13.075 s
Job number 342 of 512 done! Time = 13.1275 s
Job number 392 of 512 done! Time = 12.6074 s
Job number 382 of 512 done! Time = 13.1157 s
Job number 332 of 512 done! Time = 13.3081 s
